fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,color,wine_id
6.1,0.21,0.3,6.3,0.039,47,136,0.99068,3.27,0.31,12.7,6,white,3091
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5,white,566
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,white,1311
6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5,white,1364
7.1,0.25,0.39,2.1,0.036,30,124,0.9908,3.28,0.43,12.2,8,white,3926
6,0.16,0.3,6.7,0.043,43,153,0.9951,3.63,0.46,10.6,5,white,1042
6.5,0.29,0.26,7,0.04,18,113,0.99366,3.17,0.38,10.2,6,white,1052
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,white,2590
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6,white,2664
6.5,0.26,0.31,1.3,0.034,59,145,0.98944,3.16,0.54,12.4,6,white,2560
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,red,4683
7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3,white,2488
7.1,0.25,0.31,2.3,0.05,32,156,0.9914,3.14,0.51,11.4,6,white,614
6.5,0.23,0.45,2.1,0.027,43,104,0.99054,3.02,0.52,11.3,6,white,2088
6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6,white,328
6.3,0.18,0.22,5.6,0.047,45,147,0.99383,3.09,0.54,10,5,white,1254
8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6,red,3760
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,white,374
7.3,0.44,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6,red,1386
6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5,white,615
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6,white,4136
8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,6,white,3070
7.6,0.27,0.29,2.5,0.059,37,115,0.99328,3.09,0.37,9.8,5,white,550
6.4,0.29,0.3,2.9,0.036,25,79,0.99037,3.29,0.6,12.4,7,white,3254
7.7,0.27,0.34,1.8,0.028,26,168,0.9911,2.99,0.48,12.1,7,white,392
7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5,red,3544
6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6,white,1358
6.5,0.23,0.39,1.9,0.036,41,98,0.99,3.19,0.43,11.9,7,white,4676
6,0.31,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11,6,red,3678
5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7,white,3214
7.4,0.28,0.49,1.5,0.034,20,126,0.9918,2.98,0.39,10.6,6,white,1002
6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5,6,white,4149
7.1,0.32,0.32,11,0.038,16,66,0.9937,3.24,0.4,11.5,3,white,2703
7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,6,red,2792
6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6,white,4433
6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,6,white,1432
12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5,red,1627
6.6,0.26,0.56,15.4,0.053,32,141,0.9981,3.11,0.49,9.3,5,white,642
7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6,white,3903
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,white,2497
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7,red,2311
5.7,0.16,0.32,1.2,0.036,7,89,0.99111,3.26,0.48,11,5,white,1123
6.9,0.4,0.17,12.9,0.033,59,186,0.99754,3.08,0.49,9.4,5,white,1149
7.1,0.32,0.3,9.9,0.041,63,192,0.99642,3.12,0.49,10.2,6,white,294
6.2,0.22,0.3,12.4,0.054,108,152,0.99728,3.1,0.47,9.5,6,white,2218
6.3,0.28,0.24,8.45,0.031,32,172,0.9958,3.39,0.57,9.7,7,white,2724
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6,white,4000
5.2,0.24,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,6,white,657
6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6,white,3127
6.8,0.3,0.33,12.8,0.041,60,168,0.99659,3.1,0.56,9.8,5,white,4133
6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6,white,3452
9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,5,red,4577
6.4,0.17,0.3,2.8,0.034,33,125,0.99152,3.03,0.49,10.4,6,white,597
7,0.24,0.47,1.3,0.043,18,131,0.99176,3.19,0.45,11,6,white,3424
6.7,0.32,0.44,2.4,0.061,24,34,0.99484,3.29,0.8,11.6,7,red,3160
5.7,0.22,0.2,16,0.044,41,113,0.99862,3.22,0.46,8.9,6,white,1039
6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6,white,3956
7.9,0.42,0.49,8.2,0.056,32,164,0.9965,3.29,0.6,11.2,7,white,1669
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4,white,4686
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,red,3444
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5,white,3578
7,0.2,0.38,8.1,0.05,42,173,0.99585,3.3,0.54,9.8,6,white,2784
7.3,0.15,0.4,2,0.05,24,92,0.9932,3.14,0.45,10.5,5,white,3411
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6,red,3148
6,0.35,0.46,0.9,0.033,9,65,0.98934,3.24,0.35,12.1,4,white,3968
7.1,0.39,0.39,11.1,0.034,25,204,0.99616,3.05,0.52,10,6,white,146
6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5,white,763
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6,white,3932
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,white,2657
7.4,0.47,0.46,2.2,0.114,7,20,0.99647,3.32,0.63,10.5,5,red,1703
6.7,0.33,0.42,6.4,0.058,27,151,0.9954,3.16,0.44,9.6,5,white,3471
9.8,0.31,0.49,15.4,0.046,13,119,1.0004,3.18,0.45,9.5,5,white,4529
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,red,1722
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6,red,1421
8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11,6,white,4582
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,red,1124
6.3,0.33,0.27,1.2,0.046,34,175,0.9934,3.37,0.54,9.4,6,white,3711
6.7,0.11,0.26,14.8,0.053,44,95,0.99676,3.2,0.35,9.8,6,white,1250
6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,6,white,718
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5,red,3112
6.5,0.32,0.45,7.7,0.022,31,97,0.99134,3.2,0.7,12.7,7,white,4057
9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5,red,3414
5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7,white,2471
12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,6,red,4465
6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,6,red,2658
7.1,0.21,0.27,8.6,0.056,26,111,0.9956,2.95,0.52,9.5,5,white,2723
8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,5,red,1140
6.3,0.22,0.3,2,0.05,23,120,0.99204,3.24,0.47,10.4,6,white,4621
5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,6,white,3904
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,white,2297
5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4,white,3598
6.2,0.25,0.31,3.2,0.03,32,150,0.99014,3.18,0.31,12,6,white,4339
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9,6,white,2748
6.4,0.34,0.44,8.2,0.043,54,201,0.99551,3.18,0.48,9.5,5,white,3615
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6,red,350
6.8,0.26,0.29,16.95,0.056,48,179,0.9998,3.45,0.4,9.6,5,white,4208
5.9,0.415,0.13,1.4,0.04,11,64,0.9922,3.29,0.52,10.5,5,white,5107
7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6,white,3316
5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.75,5,white,4646
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5,red,589
8.4,0.22,0.3,8.9,0.024,17,118,0.99456,2.99,0.34,10.5,6,white,907
6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6,white,1183
6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7,white,137
6,0.21,0.38,0.8,0.02,22,98,0.98941,3.26,0.32,11.8,6,white,2458
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8,white,4264
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6,red,4401
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,white,1281
8.6,0.485,0.29,4.1,0.026,19,101,0.9918,3.01,0.38,12.4,5,white,3224
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5,red,3399
7.4,0.23,0.25,1.4,0.049,43,141,0.9934,3.42,0.54,10.2,7,white,440
6.4,0.38,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,6,red,1527
8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,6,white,2596
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5,white,1303
6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,6,white,4291
5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5,white,3330
6.3,0.23,0.22,17.45,0.054,42,151,0.99853,3.12,0.6,9.3,6,white,4060
8.9,0.3,0.35,4.6,0.032,32,148,0.99458,3.15,0.45,11.5,7,white,3697
7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5,red,1441
9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6,red,1880
8.2,0.31,0.43,7,0.047,18,87,0.99628,3.23,0.64,10.6,5,white,4272
7.1,0.31,0.25,11.2,0.048,32,136,0.99663,3.14,0.4,9.5,5,white,2121
6.8,0.28,0.36,1.6,0.04,25,87,0.9924,3.23,0.66,10.3,6,white,2895
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7,white,131
8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5,red,4753
6,0.25,0.28,2.2,0.026,54,126,0.9898,3.43,0.65,12.9,8,white,3421
8.2,0.24,0.3,2.3,0.05,23,106,0.99397,2.98,0.5,10,5,white,87
6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,5,white,1217
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6,white,621
6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3,4,white,2804
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,red,2773
6,0.19,0.37,9.7,0.032,17,50,0.9932,3.08,0.66,12,6,white,3253
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5,white,3262
7.1,0.26,0.49,2.2,0.032,31,113,0.9903,3.37,0.42,12.9,9,white,1011
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6,red,2382
6.1,0.24,0.32,9,0.031,41,134,0.99234,3.25,0.26,12.3,7,white,465
7,0.3,0.49,4.7,0.036,17,105,0.9916,3.26,0.68,12.4,7,white,4269
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7,red,989
5.7,0.25,0.21,1.5,0.044,21,108,0.99142,3.3,0.59,11,6,white,4235
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7,white,1575
7,0.15,0.34,1.4,0.039,21,177,0.9927,3.32,0.62,10.8,5,white,3388
6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5,white,3841
6.9,0.25,0.26,5.2,0.024,36,135,0.9948,3.16,0.72,10.7,7,white,2370
6.8,0.26,0.26,2,0.019,23.5,72,0.99041,3.16,0.47,11.8,6,white,21
7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,6,red,3600
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6,white,3895
6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7,white,292
6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,4,white,4398
4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6,white,2210
6.8,0.77,0,1.8,0.066,34,52,0.9976,3.62,0.68,9.9,5,red,2065
6.6,0.21,0.29,5.35,0.029,43,106,0.99112,2.93,0.43,11.5,7,white,2839
8.3,0.25,0.33,2.5,0.053,12,72,0.99404,2.89,0.48,9.5,5,white,2620
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6,white,248
6.7,0.31,0.31,9.9,0.04,10,175,0.9953,3.46,0.55,11.4,4,white,2412
9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,6,red,4499
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,6,red,23
5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,6,white,969
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,6,red,3043
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6,white,594
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5,red,408
5.9,0.22,0.29,4.2,0.037,69,144,0.99214,3.13,0.74,10.8,7,white,1372
5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9,6,white,4618
6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,5,white,186
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,red,5178
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5,red,2638
6.2,0.55,0.45,12,0.049,27,186,0.9974,3.17,0.5,9.3,6,white,1189
9,0.29,0.34,12.1,0.03,34,177,0.99706,3.13,0.47,10.6,5,white,973
6.7,0.23,0.25,1.6,0.036,28,143,0.99256,3.3,0.54,10.3,6,white,4297
5.8,0.15,0.28,0.8,0.037,43,127,0.99198,3.24,0.51,9.3,5,white,2769
8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,6,white,3553
7,0.21,0.34,8,0.057,19,101,0.9954,2.99,0.59,9.4,5,white,337
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5,red,3869
8.3,0.19,0.49,1.2,0.051,11,137,0.9918,3.06,0.46,11,6,white,2
7.7,0.31,0.23,2,0.069,29,134,0.99382,3.11,0.62,9.8,5,white,3436
7.7,0.38,0.23,10.8,0.03,28,95,0.99164,2.93,0.41,13.6,6,white,992
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,red,1806
6.8,0.33,0.31,7.4,0.045,34,143,0.99226,3.06,0.55,12.2,6,white,4383
7.3,0.26,0.53,12.7,0.047,60.5,164.5,0.9984,3.06,0.45,9.1,6,white,1940
7.1,0.26,0.32,5.9,0.037,39,97,0.9934,3.31,0.4,11.6,6,white,5069
7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4,white,5103
6.1,0.17,0.28,2.5,0.028,22,98,0.99072,3.16,0.37,11.1,7,white,4066
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5,white,2869
8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5,red,4013
7,0.22,0.3,1.4,0.04,14,63,0.98985,3.2,0.33,12,6,white,4824
8.6,0.16,0.49,7.3,0.043,9,63,0.9953,3.13,0.59,10.5,6,white,1887
6.2,0.3,0.31,1.6,0.035,40,106,0.98914,3.26,0.39,12.9,7,white,232
8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,6,white,2524
5.8,0.26,0.29,1,0.042,35,101,0.99044,3.36,0.48,11.4,7,white,2017
7.3,0.24,0.39,3.6,0.024,35,116,0.9928,3.17,0.51,10.9,5,white,3068
7.2,0.685,0.21,9.5,0.07,33,172,0.9971,3,0.55,9.1,6,white,1912
6.7,0.21,0.34,1.5,0.035,45,123,0.98949,3.24,0.36,12.6,7,white,4028
6.8,0.47,0.08,2.2,0.064,18,38,0.99553,3.3,0.65,9.6,6,red,1583
6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,6,white,260
5.8,0.21,0.32,1.6,0.045,38,95,0.98946,3.23,0.94,12.4,8,white,2889
5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5,white,5143
6.3,0.32,0.32,1.5,0.03,24,101,0.98923,3.21,0.42,13,5,white,3500
10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,6,red,3233
7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5,white,2165
6,0.38,0.26,3.5,0.035,38,111,0.98872,3.18,0.47,13.6,7,white,4977
8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,5,red,5073
7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,7,white,4323
9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,6,red,2569
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6,red,4804
8,0.18,0.37,1.3,0.04,15,96,0.9912,3.06,0.61,12.1,6,white,3050
7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,6,white,4321
8.4,0.58,0.27,12.15,0.033,37,116,0.9959,2.99,0.39,10.8,6,white,1481
6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,5,white,3212
10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,6,red,4288
6,0.28,0.27,15.5,0.036,31,134,0.99408,3.19,0.44,13,7,white,2198
7.3,0.23,0.41,14.6,0.048,73,223,0.99863,3.16,0.71,9.4,6,white,2079
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6,white,524
7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5,white,4998
6.4,0.29,0.44,3.6,0.197,75,183,0.9942,3.01,0.38,9.1,5,white,1345
6.3,0.24,0.22,11.9,0.05,65,179,0.99659,3.06,0.58,9.3,6,white,5025
6.1,0.21,0.38,1.5,0.039,37,122,0.98972,3.2,0.43,12,6,white,1869
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7,red,2542
7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6,red,4571
6.6,0.25,0.36,8.1,0.045,54,180,0.9958,3.08,0.42,9.2,5,white,1551
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,white,1504
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6,red,1509
8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,7,red,2728
7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,7,white,2735
6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,6,red,457
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6,red,3729
6.9,0.28,0.3,8.3,0.026,37,113,0.99139,2.99,0.38,12.3,8,white,5080
5.9,0.12,0.28,1.4,0.037,36,83,0.99074,3.33,0.42,10.9,7,white,3101
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,white,3744
7.2,0.28,0.54,16.7,0.045,54,200,0.999,3.08,0.49,9.5,6,white,1115
8.3,0.2,0.74,4.45,0.044,33,130,0.9924,3.25,0.42,12.2,6,white,3478
6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6,white,3207
12.6,0.38,0.66,2.6,0.088,10,41,1.001,3.17,0.68,9.8,6,red,2203
6.8,0.19,0.33,1.3,0.031,22,87,0.98987,3.08,0.62,12.3,7,white,3094
6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8,white,3866
7.6,0.25,1.23,4.6,0.035,51,294,0.99018,3.03,0.43,13.1,6,white,1044
7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6,white,2938
7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,5,red,1096
6.9,0.16,0.35,1.3,0.043,21,182,0.9927,3.25,0.62,10.8,6,white,3176
6.1,0.255,0.44,12.3,0.045,53,197,0.9967,3.24,0.54,9.5,6,white,3787
7.4,0.19,0.49,6.7,0.037,15,110,0.9938,3.2,0.38,11,7,white,3705
6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5,white,4393
6.1,0.22,0.5,6.6,0.045,30,122,0.99415,3.22,0.49,9.9,6,white,3654
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6,red,2694
6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,6,white,327
6.1,0.38,0.47,1.4,0.051,59,210,0.99309,3.24,0.5,9.6,5,white,3947
7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6,white,2292
6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,6,white,2429
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5,red,873
7.6,0.35,0.47,13.3,0.037,42,116,0.99822,3.04,0.5,9.2,5,white,4481
7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,6,white,4429
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5,white,4539
5.8,0.22,0.29,0.9,0.034,34,89,0.98936,3.14,0.36,11.1,7,white,2299
5.7,0.16,0.26,6.3,0.043,28,113,0.9936,3.06,0.58,9.9,6,white,4435
5.7,0.32,0.18,1.4,0.029,26,104,0.9906,3.44,0.37,11,6,white,2397
6.1,0.53,0.08,1.9,0.077,24,45,0.99528,3.6,0.68,10.3,6,red,5002
7.2,0.27,0.42,1.6,0.05,35,135,0.992,2.94,0.46,11,6,white,1903
8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6,white,3734
6.5,0.35,0.31,10.2,0.069,58,170,0.99692,3.18,0.49,9.4,5,white,3458
7,0.27,0.32,6.8,0.047,47,193,0.9938,3.23,0.39,11.4,6,white,3874
5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,6,white,3030
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6,white,4938
6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,5,white,3460
6,0.25,0.28,7.7,0.053,37,132,0.99489,3.06,0.5,9.4,6,white,4419
8,0.18,0.49,1.8,0.061,10,145,0.9942,3.23,0.48,10,5,white,3292
7.1,0.45,0.24,2.7,0.04,24,87,0.98862,2.94,0.38,13.4,8,white,4365
6.7,0.33,0.49,1.6,0.167,20,94,0.9914,3.11,0.5,11.4,6,white,916
6.3,0.23,0.21,5.1,0.035,29,142,0.9942,3.36,0.33,10.1,7,white,719
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6,red,1876
6.4,0.37,0.2,5.6,0.117,61,183,0.99459,3.24,0.43,9.5,5,white,2766
7.6,0.18,0.49,18.05,0.046,36,158,0.9996,3.06,0.41,9.2,5,white,4495
6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6,white,157
6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9,white,3747
6.5,0.22,0.19,4.5,0.096,16,115,0.9937,3.02,0.44,9.6,5,white,3786
7.5,0.3,0.71,1.3,0.16,44,149,0.9948,3.08,0.42,8.9,5,white,2616
6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,5,white,2114
7.6,0.13,0.34,9.3,0.062,40,126,0.9966,3.21,0.39,9.6,5,white,2947
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,white,3140
6.2,0.25,0.42,8,0.049,53,206,0.99586,3.16,0.47,9.1,6,white,4742
6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6,red,3609
6.5,0.26,0.34,1.4,0.04,25,184,0.99216,3.29,0.46,10.7,5,white,3882
6.5,0.3,0.39,7.8,0.038,61,219,0.9959,3.19,0.5,9.4,5,white,4478
6.6,0.18,0.26,17.3,0.051,17,149,0.9984,3,0.43,9.4,6,white,1976
6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,5,white,5179
6.2,0.39,0.24,4.8,0.037,45,138,0.99174,3.23,0.43,11.2,7,white,3769
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,white,739
5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,8,white,2775
8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2,6,white,4720
11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,7,red,2038
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,white,497
6.8,0.21,0.62,6.4,0.041,7,113,0.99358,2.96,0.59,10.2,5,white,342
6.4,0.24,0.31,2.8,0.038,41,114,0.99155,3.37,0.66,11.7,7,white,3743
6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,5,white,4468
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,white,4119
7.9,0.35,0.36,1.6,0.038,11,124,0.9928,3.25,0.48,11,5,white,3087
5,0.31,0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,6,white,4949
6.6,0.24,0.27,10.3,0.047,54,219,0.99742,3.04,0.45,8.8,5,white,2227
9.7,0.66,0.34,2.6,0.094,12,88,0.99796,3.26,0.66,10.1,5,red,2875
7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,5,white,1203
